Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Kia,Seltos,GTX Plus 1.5 Diesel AT,Automatic (TC),Diesel,1810000,36000,2,Ahmedabad
Tata,Harrier [2019-2023],XZ,Manual,Diesel,1700000,68578,3,Ahmedabad
Volkswagen,Polo,Trendline 1.0L MPI,Manual,Petrol,436200,48000,5,Ahmedabad
Maruti Suzuki,Celerio,ZXi,Manual,Petrol,547400,26009,2,Ahmedabad
Mahindra,XUV500 [2015-2018],W10,Manual,Diesel,873000,68275,8,Ahmedabad
Maruti Suzuki,Vitara Brezza [2016-2020],ZDi,Manual,Diesel,554700,66290,5,Ahmedabad
Toyota,Fortuner [2012-2016],3.0 4x2 AT,Automatic,Diesel,1571000,70358,9,Ahmedabad
Honda,Amaze [2018-2021],1.2 V CVT Petrol,Automatic (CVT),Petrol,697000,58000,3,Ahmedabad
Honda,Amaze [2018-2021],1.2 S MT Petrol,Manual,Petrol,475600,80306,5,Ahmedabad
Kia,Seltos [2019-2022],GTX Plus 1.4,Manual,Petrol,1470000,35092,4,Ahmedabad
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,634000,19122,5,Ahmedabad
Hyundai,Venue [2019-2022],S 1.0 Turbo,Manual,Petrol,646000,29564,4,Ahmedabad
Kia,Seltos [2019-2022],HTX IVT 1.5 [2019-2020],Automatic (CVT),Petrol,1028000,41477,4,Ahmedabad
Kia,Seltos [2019-2022],HTK 1.5,Manual,Petrol,824000,57277,4,Ahmedabad
Honda,Jazz,V,Manual,Petrol,547600,23044,5,Ahmedabad
Kia,Seltos [2019-2022],HTK Plus 1.5,Manual,Petrol,821000,79055,5,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.4 G 7 STR,Manual,Diesel,1395000,75680,4,Ahmedabad
Skoda,Kodiaq,Style,Automatic (DCT),Petrol,2171000,84398,6,Ahmedabad
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1571000,35353,3,Ahmedabad
Hyundai,Xcent,E,Manual,Petrol,463700,31802,6,Ahmedabad
Toyota,Yaris,J CVT,Automatic (CVT),Petrol,862000,38419,6,Ahmedabad
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,747000,49611,5,Ahmedabad
Honda,Brio,S MT,Manual,Petrol,270500,34689,8,Ahmedabad
Kia,Seltos,HTX 1.5 Diesel AT,Automatic (TC),Diesel,1593000,25600,1,Ahmedabad
Kia,Sonet [2020-2022],HTK Plus 1.2,Manual,Petrol,733000,25789,3,Ahmedabad
Honda,BR-V,S Diesel,Manual,Diesel,697000,93990,7,Ahmedabad
Kia,Seltos,HTK Plus 1.5 Diesel AT,Automatic (TC),Diesel,1311000,41703,2,Ahmedabad
BMW,X3 [2018-2022],xDrive 20d Luxury Line,Automatic (TC),Diesel,4745000,76692,4,Ahmedabad
Land Rover,Range Rover Velar [2017-2023],S R-Dynamic 2.0 Petrol,Automatic (TC),Petrol,7753000,8680,2,Ahmedabad
Jaguar,XE [2016-2019],Prestige,Automatic,Petrol,2670000,72630,5,Ahmedabad
Jeep,Compass [2017-2021],Limited Plus 2.0 Diesel 4x4 AT,Automatic (TC),Diesel,1771000,56371,4,Ahmedabad
Jaguar,XF,Prestige Diesel,Automatic,Diesel,2720000,83190,6,Ahmedabad
Mini,Cooper,S,Automatic (DCT),Petrol,2920000,24727,4,Ahmedabad
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1237000,79000,2,Ahmedabad
Land Rover,Range Rover,SE 3.0 Diesel,Automatic (TC),Diesel,24920000,10712,1,Ahmedabad
BMW,X5 [2012-2014],xDrive 30d,Automatic,Diesel,4571000,41964,6,Ahmedabad
Honda,Amaze [2013-2016],1.5 S i-DTEC,Manual,Diesel,301100,95000,9,Ahmedabad
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,309100,105072,9,Ahmedabad
Audi,A6,Technology 45 TFSI,Automatic (DCT),Petrol,5370000,8300,1,Ahmedabad
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,481800,90261,7,Ahmedabad
Audi,A6,Premium Plus 45 TFSI,Automatic (DCT),Petrol,4820000,22840,2,Ahmedabad
Audi,Q3,40 TFSI Premium,Automatic (DCT),Petrol,3770000,6900,1,Ahmedabad
Audi,Q3,40 TFSI Premium,Automatic (DCT),Petrol,3770000,6900,1,Delhi
Audi,Q3,40 TFSI Premium,Automatic (DCT),Petrol,3770000,9529,1,Ahmedabad
Audi,A6,Technology 45 TFSI,Automatic (DCT),Petrol,5370000,8577,1,Ahmedabad
Mahindra,TUV300 [2015-2019],T4,Manual,Diesel,465800,75000,8,Ahmedabad
Hyundai,Elite i20 [2014-2015],Asta 1.2,Manual,Petrol,502200,60000,7,Ahmedabad
Toyota,Innova Crysta [2020-2023],ZX 2.4 AT 7 STR,Automatic (TC),Diesel,1921000,88236,3,Ahmedabad
Audi,Q8,Celebration,Automatic (TC),Petrol,8520000,5233,2,Ahmedabad
Volvo,XC60 [2015-2017],Inscription,Automatic,Diesel,5171000,51321,5,Ahmedabad
Jeep,Compass [2017-2021],Limited 2.0 Diesel,Manual,Diesel,1273000,80388,5,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1542000,59939,5,Ahmedabad
Honda,Brio,S MT,Manual,Petrol,246800,45579,9,Ahmedabad
Volvo,S90 [2016-2021],D4 Inscription,Automatic (TC),Diesel,7220000,41651,3,Ahmedabad
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,525000,51430,7,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,3771000,29676,2,Ahmedabad
Tata,Nexon [2017-2020],XZ,Manual,Petrol,1320000,25365,1,Ahmedabad
Renault,Duster [2012-2015],110 PS RxZ Diesel,Manual,Diesel,442400,23782,10,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.8 ZX AT 7 STR [2016-2020],Automatic,Diesel,1895000,126216,6,Ahmedabad
Maruti Suzuki,Vitara Brezza [2016-2020],VDi,Manual,Diesel,512600,77723,5,Ahmedabad
MG,Hector [2019-2021],Sharp 2.0 Diesel,Manual,Diesel,1271000,88495,4,Ahmedabad
Maruti Suzuki,Alto 800 [2012-2016],VXi,Manual,Petrol,232500,54500,5,Ahmedabad
Hyundai,i20 [2010-2012],Sportz 1.4 CRDI,Manual,Diesel,274800,85000,10,Ahmedabad
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,456500,29500,7,Ahmedabad
Mahindra,XUV500 [2011-2015],W6,Manual,Diesel,797000,84277,8,Ahmedabad
Ford,Endeavour [2016-2019],Titanium 3.2 4x4 AT,Automatic,Diesel,1871000,72119,8,Ahmedabad
Audi,A4,Premium 40 TFSI,Automatic (DCT),Petrol,3420000,16262,3,Ahmedabad
Hyundai,Tucson [2016-2020],2WD AT GLS Diesel,Automatic,Diesel,1320000,74952,7,Ahmedabad
Audi,A6[2011-2015],2.0 TDI Premium,Automatic,Diesel,1320000,83758,10,Ahmedabad
Hyundai,Xcent,E,Manual,Petrol,269100,26636,9,Ahmedabad
Toyota,Innova Crysta [2020-2023],GX 2.7 AT 8 STR,Automatic (TC),Petrol,1677000,31100,2,Ahmedabad
Mahindra,XUV500 [2011-2015],W6,Manual,Diesel,655000,40500,6,Ahmedabad
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,476400,90000,6,Ahmedabad
Honda,Jazz,V,Manual,Petrol,433000,226500,7,Ahmedabad
Kia,Seltos [2019-2022],HTX Plus 1.5 Diesel,Manual,Diesel,1270000,76000,5,Ahmedabad
Tata,Safari [2021-2023],XTA Plus,Automatic (TC),Diesel,1615000,22500,2,Ahmedabad
Mahindra,XUV500 [2011-2015],W8,Manual,Diesel,595500,100518,9,Ahmedabad
Hyundai,Creta [2018-2019],SX 1.6 Petrol,Manual,Petrol,689000,42800,6,Ahmedabad
Volkswagen,Virtus,Highline 1.0 TSI AT,Automatic (TC),Petrol,1308000,13000,2,Ahmedabad
Kia,Sonet [2020-2022],HTX 1.5,Manual,Diesel,898000,42858,2,Ahmedabad
Maruti Suzuki,Celerio X,Zxi,Manual,Petrol,437700,66712,6,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,912000,53365,4,Ahmedabad
Maruti Suzuki,Baleno,Alpha AGS,Automatic (AMT),Petrol,874000,30183,2,Ahmedabad
Hyundai,Alcazar,Signature (O) 6 STR 1.5 Diesel AT,Automatic (TC),Diesel,1663000,33746,2,Ahmedabad
Hyundai,Venue,SX 1.5 CRDi,Manual,Diesel,1012000,56410,4,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,1310000,80000,2,Ahmedabad
Tata,Safari [2021-2023],XTA Plus,Automatic (TC),Diesel,1816000,12000,1,Ahmedabad
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1895000,75000,8,Ahmedabad
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1895000,75000,8,Coimbatore
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1895000,75000,8,Delhi
